Positionx,Positiony,Velocityx,Velocityy
0.005,0,-0.0299,-0.283
0.005,0.00667,0.0406,-0.1
0.005,0.0133,0.0678,-0.00282
0.005,0.02,0.0257,-0.141
0.005,0.0267,0.0236,-0.226
0.005,0.0333,0.017,-0.282
0.005,0.04,0.0125,-0.32
0.005,0.0467,0.0114,-0.349
0.005,0.0533,0.0118,-0.376
0.005,0.06,0.0117,-0.404
0.005,0.0667,0.0111,-0.431
0.005,0.0733,0.0101,-0.456
0.005,0.08,0.0091,-0.479
0.005,0.0867,0.00825,-0.5
0.005,0.0933,0.00755,-0.52
0.005,0.1,0.00697,-0.538
0.005,0.107,0.00646,-0.555
0.005,0.113,0.00593,-0.572
0.005,0.12,0.00535,-0.588
0.005,0.127,0.00459,-0.603
0.005,0.133,0.00362,-0.616
0.005,0.14,0.00234,-0.628
0.005,0.147,0.000728,-0.639
0.005,0.153,-0.00127,-0.647
0.005,0.16,-0.00356,-0.653
0.005,0.167,-0.00608,-0.656
0.005,0.173,-0.00877,-0.656
0.005,0.18,-0.0115,-0.653
0.005,0.187,-0.0144,-0.647
0.005,0.193,-0.0173,-0.637
0.005,0.2,-0.0202,-0.623
0.005,0.207,-0.023,-0.606
0.005,0.213,-0.0256,-0.586
0.005,0.22,-0.0282,-0.563
0.005,0.227,-0.0306,-0.537
0.005,0.233,-0.033,-0.509
0.005,0.24,-0.0353,-0.478
0.005,0.247,-0.0375,-0.444
0.005,0.253,-0.0397,-0.409
0.005,0.26,-0.0416,-0.371
0.005,0.267,-0.0431,-0.332
0.005,0.273,-0.0441,-0.292
0.005,0.28,-0.045,-0.251
0.005,0.287,-0.0457,-0.209
0.005,0.293,-0.0458,-0.166
0.005,0.3,-0.0452,-0.124
0.005,0.307,-0.0436,-0.0825
0.005,0.313,-0.0411,-0.0434
0.005,0.32,-0.0376,-0.00755
0.005,0.327,-0.0336,0.0242
0.005,0.333,-0.0292,0.0511
0.005,0.34,-0.0245,0.0725
0.005,0.347,-0.0194,0.0874
0.005,0.353,-0.0145,0.0957
0.005,0.36,-0.0103,0.0982
0.005,0.367,-0.00702,0.0964
0.005,0.373,-0.00396,0.0905
0.005,0.38,-0.000713,0.0797
0.005,0.387,0.00221,0.0641
0.005,0.393,0.00458,0.0448
0.005,0.4,0.00654,0.0226
0.005,0.407,0.00814,-0.00213
0.005,0.413,0.00925,-0.0289
0.005,0.42,0.00994,-0.0572
0.005,0.427,0.0104,-0.0864
0.005,0.433,0.0104,-0.116
0.005,0.44,0.00957,-0.144
0.005,0.447,0.00813,-0.17
0.005,0.453,0.00625,-0.193
0.005,0.46,0.00431,-0.213
0.005,0.467,0.00263,-0.23
0.005,0.473,0.00137,-0.245
0.005,0.48,0.000457,-0.259
0.005,0.487,-0.000671,-0.27
0.005,0.493,-0.00236,-0.279
0.005,0.5,-0.00418,-0.284
0.005,0.507,-0.00578,-0.287
0.005,0.513,-0.00702,-0.287
0.005,0.52,-0.00799,-0.286
0.005,0.527,-0.00875,-0.283
0.005,0.533,-0.00948,-0.278
0.005,0.54,-0.0102,-0.273
0.005,0.547,-0.0109,-0.266
0.005,0.553,-0.0115,-0.258
0.005,0.56,-0.0121,-0.249
0.005,0.567,-0.0124,-0.239
0.005,0.573,-0.0125,-0.23
0.005,0.58,-0.0125,-0.221
0.005,0.587,-0.0122,-0.212
0.005,0.593,-0.0117,-0.203
0.005,0.6,-0.0112,-0.195
0.005,0.607,-0.0107,-0.188
0.005,0.613,-0.0103,-0.181
0.005,0.62,-0.00993,-0.176
0.005,0.627,-0.00936,-0.171
0.005,0.633,-0.00863,-0.168
0.005,0.64,-0.00792,-0.166
0.005,0.647,-0.00725,-0.164
0.005,0.653,-0.00671,-0.164
0.005,0.66,-0.00637,-0.165
0.005,0.667,-0.00607,-0.166
0.005,0.673,-0.00577,-0.168
0.005,0.68,-0.00546,-0.17
0.005,0.687,-0.00513,-0.172
0.005,0.693,-0.00497,-0.175
0.005,0.7,-0.0051,-0.178
0.005,0.707,-0.00537,-0.181
0.005,0.713,-0.00562,-0.184
0.005,0.72,-0.00578,-0.187
0.005,0.727,-0.00586,-0.19
0.005,0.733,-0.0059,-0.192
0.005,0.74,-0.00594,-0.195
